,id,label,predict
0,471,0,0
1,1713,0,1
2,2721,0,1
3,1672,0,0
4,18,0,0
5,1725,0,1
6,1497,0,0
7,1982,0,1
8,318,0,1
9,2141,0,0
10,474,0,0
11,2082,0,0
12,2120,0,1
13,1612,0,1
14,2660,0,0
15,33,0,0
16,1239,0,0
17,859,0,0
18,2330,0,0
19,316,0,0
20,1951,0,0
21,2510,0,1
22,1600,0,0
23,2651,0,0
24,2688,0,1
25,1215,0,0
26,1261,0,1
27,2394,0,0
28,269,0,0
29,1626,0,1
30,2299,0,1
31,1662,0,0
32,2448,0,0
33,424,0,0
34,2319,0,0
35,509,0,1
36,2607,0,1
37,1663,0,0
38,2315,0,1
39,1229,0,0
40,349,0,0
41,1561,0,0
42,2693,0,0
43,461,0,0
44,2625,0,1
45,219,0,0
46,1769,0,0
47,1893,0,1
48,1654,0,0
49,1209,0,0
50,296,0,0
51,2749,0,1
52,801,0,0
53,289,0,0
54,2872,0,1
55,1970,0,0
56,1278,0,0
57,1186,0,0
58,484,0,1
59,745,0,0
60,4,0,0
61,390,0,0
62,2601,0,1
63,1506,0,0
64,2501,0,0
65,1607,0,0
66,893,0,1
67,1830,0,0
68,1605,0,0
69,1465,0,0
70,524,0,0
71,2547,0,0
72,2124,0,0
73,1264,0,0
74,1217,0,1
75,2269,0,0
76,873,0,1
77,765,0,0
78,1258,0,0
79,2476,0,0
80,223,0,0
81,138,0,0
82,2756,0,1
83,464,0,1
84,662,0,0
85,607,0,0
86,2863,0,1
87,1529,0,0
88,1265,0,0
89,380,0,0
90,773,0,0
91,2427,0,1
92,569,0,1
93,581,0,0
94,2821,0,0
95,1162,0,1
96,2386,0,0
97,54,0,1
98,1707,0,0
99,2487,0,0
100,1232,0,0
101,2414,0,0
102,1740,0,1
103,2022,0,1
104,2329,0,0
105,322,0,1
106,544,0,0
107,833,0,0
108,160,0,0
109,1185,0,0
110,1719,0,0
111,1898,0,1
112,1222,0,0
113,1500,0,1
114,2164,0,1
115,173,0,0
116,924,0,1
117,2416,0,1
118,2466,0,1
119,1267,0,0
120,1159,0,0
121,2246,0,1
122,1782,0,0
123,1560,0,1
124,198,0,0
125,1160,0,0
126,1799,0,0
127,2727,0,0
128,622,0,0
129,560,0,0
130,2504,0,1
131,783,0,0
132,2842,0,1
133,1153,0,0
134,1701,0,0
135,2230,0,1
136,2452,0,1
137,1195,0,1
138,777,0,0
139,2303,0,1
140,2752,0,0
141,2408,0,0
142,1795,0,0
143,2280,0,0
144,1756,0,1
145,280,0,0
146,1508,0,0
147,2536,0,0
148,1471,0,1
149,1196,0,0
150,1710,1,0
151,2219,1,1
152,2563,1,0
153,337,1,0
154,947,1,1
155,1400,1,0
156,2075,1,0
157,1781,1,1
158,2283,1,0
159,2364,1,1
160,1006,1,0
161,263,1,1
162,996,1,1
163,816,1,0
164,1849,1,1
165,2703,1,0
166,2121,1,1
167,2222,1,0
168,1019,1,0
169,1694,1,0
170,2631,1,1
171,1319,1,1
172,2192,1,1
173,2648,1,1
174,1114,1,0
175,1546,1,0
176,2008,1,0
177,2457,1,0
178,1975,1,1
179,437,1,1
180,1375,1,0
181,88,1,1
182,210,1,1
183,1907,1,0
184,1308,1,1
185,2598,1,0
186,2220,1,1
187,2361,1,1
188,2865,1,1
189,11,1,0
190,2065,1,1
191,1095,1,0
192,1811,1,0
193,1086,1,0
194,971,1,0
195,713,1,1
196,1947,1,1
197,1433,1,1
198,2481,1,0
199,1971,1,0
200,1350,1,0
201,2123,1,1
202,1553,1,0
203,2858,1,1
204,1637,1,0
205,1352,1,0
206,2729,1,1
207,2595,1,0
208,1134,1,1
209,1820,1,1
210,2309,1,0
211,820,1,1
212,900,1,0
213,2646,1,0
214,7,1,0
215,1688,1,0
216,370,1,1
217,2093,1,0
218,2401,1,1
219,2059,1,0
220,1298,1,0
221,2671,1,1
222,1360,1,0
223,1542,1,0
224,2142,1,0
225,1841,1,0
226,1567,1,0
227,1032,1,1
228,1757,1,1
229,1300,1,1
230,2043,1,1
231,824,1,0
232,2096,1,0
233,1787,1,0
234,2025,1,0
235,1418,1,1
236,770,1,1
237,747,1,1
238,1579,1,0
239,20,1,1
240,671,1,1
241,1441,1,0
242,46,1,1
243,1881,1,1
244,2570,1,0
245,1442,1,1
246,1310,1,0
247,872,1,0
248,2705,1,1
249,2475,1,0
250,547,1,1
251,180,1,0
252,600,1,0
253,389,1,1
254,167,1,0
255,2326,1,1
256,2792,1,1
257,57,1,1
258,1962,1,1
259,2161,1,0
260,2637,1,0
261,935,1,1
262,2866,1,0
263,1401,1,0
264,2306,1,0
265,1058,1,0
266,1901,1,0
267,202,1,1
268,2453,1,0
269,265,1,0
270,2338,1,0
271,1351,1,1
272,2190,1,0
273,1541,1,0
274,1976,1,1
275,1985,1,1
276,245,1,0
277,2743,1,1
278,1097,1,1
279,2070,1,1
280,2391,1,1
281,2088,1,1
282,2432,1,1
283,936,1,0
284,1777,1,0
285,987,1,0
286,87,1,0
287,1833,1,0
288,2542,1,1
289,1882,1,1
290,392,1,0
291,2229,1,1
292,2102,1,1
293,413,1,0
294,2454,1,0
295,2526,1,0
296,2341,1,0
297,21,1,0
298,1323,1,0
299,1037,1,0
