,id,label,predict
0,1228,0,0
1,730,0,1
2,1472,0,1
3,1479,0,0
4,2872,0,1
5,2234,0,0
6,2489,0,1
7,1186,0,1
8,759,0,1
9,149,0,0
10,1268,0,0
11,138,0,0
12,1511,0,1
13,1769,0,1
14,2596,0,0
15,2809,0,1
16,1632,0,1
17,1254,0,0
18,2022,0,1
19,143,0,1
20,668,0,0
21,2610,0,1
22,805,0,0
23,2053,0,0
24,681,0,0
25,2538,0,0
26,2509,0,1
27,740,0,0
28,613,0,1
29,1735,0,1
30,849,0,0
31,2577,0,1
32,2756,0,1
33,1782,0,0
34,2443,0,1
35,2082,0,0
36,2380,0,1
37,1773,0,1
38,2607,0,1
39,1529,0,0
40,39,0,0
41,1478,0,0
42,2459,0,1
43,1450,0,1
44,649,0,1
45,2470,0,0
46,2510,0,1
47,49,0,0
48,800,0,1
49,754,0,1
50,614,0,0
51,292,0,0
52,2226,0,1
53,305,0,1
54,2201,0,1
55,1900,0,0
56,1502,0,0
57,2373,0,1
58,1958,0,1
59,1483,0,1
60,2597,0,0
61,782,0,0
62,2181,0,0
63,1507,0,0
64,1740,0,1
65,1497,0,0
66,2559,0,0
67,1503,0,1
68,2600,0,0
69,2316,0,1
70,702,0,1
71,52,0,0
72,2824,0,1
73,490,0,0
74,1248,0,0
75,120,0,0
76,2311,0,0
77,2321,0,1
78,2749,0,1
79,357,0,0
80,1258,0,0
81,2319,0,0
82,2250,0,0
83,481,0,0
84,1701,0,1
85,2601,0,1
86,2531,0,1
87,700,0,1
88,1615,0,1
89,830,0,0
90,870,0,1
91,1480,0,0
92,720,0,0
93,41,0,0
94,610,0,1
95,316,0,0
96,1255,0,0
97,2017,0,0
98,1894,0,0
99,1501,0,0
100,1607,0,0
101,1572,0,0
102,2340,0,1
103,306,0,1
104,2839,0,1
105,2452,0,1
106,2464,0,1
107,2414,0,0
108,543,0,0
109,708,0,0
110,1880,0,1
111,2355,0,1
112,774,0,0
113,82,0,1
114,1890,0,0
115,2329,0,0
116,503,0,0
117,2690,0,1
118,1650,0,0
119,1516,0,0
120,544,0,0
121,2369,0,1
122,2179,0,0
123,349,0,1
124,1852,0,0
125,2462,0,0
126,769,0,1
127,1500,0,1
128,1664,0,1
129,2783,0,0
130,1453,0,1
131,1242,0,1
132,1461,0,0
133,1496,0,1
134,308,0,0
135,363,0,0
136,144,0,1
137,2654,0,0
138,2347,0,0
139,1951,0,0
140,288,0,0
141,2128,0,0
142,710,0,1
143,895,0,0
144,2471,0,1
145,1914,0,1
146,475,0,0
147,287,0,0
148,1287,0,1
149,479,0,0
150,2098,1,0
151,2763,1,1
152,1019,1,1
153,2005,1,1
154,2541,1,0
155,1685,1,0
156,2116,1,0
157,182,1,1
158,1412,1,0
159,1704,1,1
160,394,1,0
161,2113,1,0
162,514,1,1
163,370,1,1
164,1303,1,1
165,2744,1,0
166,1403,1,1
167,1602,1,0
168,2480,1,0
169,2852,1,1
170,2819,1,1
171,2582,1,0
172,959,1,0
173,468,1,1
174,804,1,0
175,1116,1,1
176,2025,1,0
177,2754,1,1
178,2136,1,1
179,2658,1,1
180,2243,1,0
181,179,1,1
182,1541,1,1
183,2807,1,1
184,2058,1,1
185,1426,1,0
186,499,1,1
187,2343,1,1
188,1482,1,1
189,2589,1,1
190,1405,1,1
191,2409,1,1
192,1440,1,0
193,2584,1,1
194,1127,1,1
195,2428,1,1
196,125,1,0
197,1737,1,1
198,1581,1,1
199,1434,1,1
200,2451,1,0
201,2216,1,0
202,1522,1,0
203,1689,1,1
204,1850,1,1
205,2157,1,1
206,1376,1,0
207,928,1,1
208,100,1,1
209,1987,1,1
210,965,1,1
211,354,1,1
212,1590,1,1
213,933,1,0
214,1075,1,1
215,2147,1,0
216,1841,1,0
217,1911,1,0
218,625,1,1
219,1954,1,1
220,2424,1,1
221,1686,1,0
222,2003,1,1
223,1029,1,1
224,389,1,1
225,2103,1,1
226,2026,1,1
227,1979,1,1
228,1846,1,0
229,2784,1,1
230,907,1,1
231,2252,1,1
232,2723,1,1
233,1809,1,1
234,1297,1,0
235,2675,1,0
236,1377,1,0
237,2099,1,1
238,2331,1,1
239,1959,1,1
240,1863,1,0
241,218,1,1
242,2798,1,0
243,187,1,1
244,2833,1,1
245,2612,1,1
246,2732,1,1
247,1439,1,0
248,1038,1,1
249,1043,1,1
250,2013,1,0
251,2081,1,1
252,1442,1,1
253,1411,1,0
254,2356,1,1
255,1871,1,1
256,1820,1,1
257,2189,1,0
258,2037,1,0
259,2736,1,1
260,2503,1,0
261,1779,1,0
262,2360,1,0
263,1115,1,0
264,1960,1,1
265,834,1,0
266,47,1,1
267,2415,1,1
268,307,1,1
269,1742,1,0
270,1052,1,0
271,1099,1,1
272,2621,1,0
273,906,1,1
274,2469,1,0
275,1293,1,1
276,1315,1,1
277,2555,1,1
278,1591,1,0
279,259,1,1
280,2400,1,0
281,2301,1,1
282,2485,1,1
283,1589,1,0
284,2309,1,0
285,2622,1,1
286,2057,1,1
287,1993,1,0
288,2422,1,1
289,2671,1,1
290,2733,1,1
291,1415,1,0
292,1354,1,0
293,2206,1,1
294,1393,1,1
295,2679,1,1
296,34,1,0
297,286,1,1
298,2212,1,0
299,1860,1,0
