,id,label,predict
0,2402,0,1
1,885,0,0
2,2270,0,1
3,425,0,1
4,1234,0,0
5,2660,0,0
6,1650,0,0
7,538,0,1
8,108,0,0
9,2319,0,0
10,2839,0,1
11,1481,0,1
12,1510,0,0
13,2694,0,1
14,2489,0,1
15,2271,0,0
16,1261,0,1
17,1539,0,0
18,1488,0,0
19,1723,0,1
20,1649,0,1
21,2156,0,0
22,2862,0,1
23,715,0,1
24,37,0,0
25,1725,0,1
26,1513,0,0
27,2444,0,0
28,2175,0,1
29,1748,0,1
30,1195,0,1
31,391,0,1
32,1741,0,0
33,1287,0,1
34,2462,0,0
35,1605,0,0
36,1264,0,0
37,1502,0,0
38,1620,0,1
39,33,0,0
40,2359,0,0
41,2198,0,1
42,1895,0,0
43,379,0,1
44,1999,0,0
45,2531,0,1
46,877,0,0
47,2749,0,1
48,884,0,1
49,77,0,0
50,2511,0,1
51,870,0,1
52,579,0,0
53,656,0,1
54,483,0,1
55,1224,0,0
56,2266,0,0
57,2501,0,0
58,2394,0,0
59,2655,0,1
60,575,0,0
61,2771,0,0
62,1715,0,0
63,1922,0,1
64,2017,0,0
65,2471,0,1
66,1898,0,1
67,2536,0,0
68,2158,0,1
69,427,0,0
70,315,0,0
71,2426,0,0
72,758,0,0
73,2348,0,1
74,577,0,0
75,543,0,0
76,2719,0,1
77,828,0,1
78,1239,0,0
79,2251,0,1
80,2468,0,0
81,1547,0,0
82,2330,0,0
83,1713,0,1
84,1627,0,1
85,743,0,1
86,2300,0,0
87,1727,0,1
88,813,0,0
89,1242,0,1
90,1582,0,1
91,2785,0,1
92,1280,0,0
93,515,0,1
94,123,0,1
95,1251,0,0
96,718,0,1
97,316,0,0
98,2174,0,1
99,281,0,0
100,2238,0,1
101,228,0,0
102,564,0,0
103,2195,0,0
104,2236,0,1
105,51,0,0
106,1660,0,1
107,1256,0,1
108,1707,0,0
109,2685,0,0
110,1507,0,0
111,557,0,1
112,1285,0,0
113,475,0,0
114,2808,0,1
115,2315,0,1
116,1277,0,0
117,1169,0,1
118,30,0,0
119,604,0,1
120,2260,0,0
121,1271,0,1
122,2297,0,0
123,2842,0,1
124,919,0,0
125,509,0,1
126,75,0,0
127,1235,0,0
128,1617,0,1
129,1988,0,1
130,720,0,0
131,2848,0,1
132,28,0,0
133,1572,0,0
134,1671,0,0
135,1607,0,0
136,2269,0,0
137,558,0,0
138,1751,0,1
139,520,0,0
140,1709,0,0
141,1664,0,1
142,633,0,0
143,752,0,0
144,1229,0,1
145,1492,0,1
146,2447,0,1
147,1900,0,0
148,2870,0,0
149,1178,0,1
150,2704,1,1
151,2020,1,1
152,1779,1,0
153,826,1,0
154,1637,1,0
155,1411,1,0
156,892,1,0
157,1808,1,1
158,2540,1,0
159,1876,1,1
160,1923,1,0
161,2101,1,1
162,2485,1,1
163,1085,1,1
164,2094,1,1
165,1563,1,1
166,2071,1,1
167,547,1,1
168,1597,1,0
169,1402,1,1
170,1069,1,1
171,2465,1,0
172,2070,1,1
173,2346,1,0
174,2005,1,1
175,2609,1,1
176,2096,1,0
177,1551,1,1
178,1382,1,1
179,908,1,0
180,2807,1,1
181,2595,1,0
182,1698,1,0
183,1975,1,1
184,1378,1,1
185,2059,1,0
186,850,1,1
187,2461,1,0
188,2545,1,1
189,1774,1,0
190,1377,1,0
191,978,1,1
192,2762,1,1
193,1335,1,1
194,2446,1,0
195,2791,1,0
196,2562,1,1
197,251,1,1
198,255,1,1
199,2647,1,1
200,2637,1,0
201,2012,1,0
202,1400,1,0
203,2255,1,1
204,2368,1,1
205,62,1,0
206,20,1,1
207,1019,1,0
208,679,1,0
209,966,1,1
210,2033,1,0
211,2431,1,1
212,2057,1,1
213,1035,1,1
214,2400,1,0
215,795,1,0
216,2192,1,1
217,1540,1,0
218,2687,1,0
219,2836,1,0
220,2038,1,0
221,1363,1,0
222,2413,1,1
223,550,1,1
224,2560,1,1
225,1933,1,1
226,385,1,1
227,2525,1,1
228,1522,1,0
229,1997,1,0
230,669,1,1
231,1438,1,1
232,596,1,0
233,925,1,0
234,1594,1,0
235,2116,1,0
236,168,1,0
237,1339,1,1
238,1538,1,0
239,1314,1,0
240,1337,1,0
241,2853,1,0
242,1293,1,0
243,90,1,0
244,1361,1,0
245,2220,1,1
246,161,1,1
247,646,1,1
248,1038,1,1
249,1872,1,1
250,1375,1,0
251,2843,1,1
252,2301,1,1
253,2575,1,1
254,1120,1,1
255,1569,1,1
256,1849,1,1
257,1763,1,1
258,2086,1,1
259,2066,1,0
260,201,1,1
261,1790,1,1
262,1931,1,0
263,1336,1,1
264,2850,1,0
265,2009,1,0
266,96,1,1
267,1806,1,0
268,1983,1,0
269,2858,1,1
270,747,1,1
271,2548,1,1
272,317,1,1
273,65,1,0
274,927,1,0
275,2072,1,1
276,1110,1,1
277,819,1,0
278,1124,1,0
279,2566,1,1
280,2205,1,1
281,982,1,1
282,2207,1,0
283,2668,1,1
284,1909,1,1
285,2689,1,0
286,1003,1,0
287,2037,1,0
288,746,1,1
289,822,1,1
290,928,1,1
291,1350,1,0
292,2804,1,1
293,2467,1,1
294,1365,1,1
295,55,1,0
296,1829,1,0
297,2788,1,1
298,2041,1,1
299,2810,1,1
